APS,ABPS,subARP,mis_match,subTCP,TCP_rate,ARP Spoofing,IP Spoofing
66,199,4,1,0,0,1,0
56,153,2,1,0,0,1,0
60,0,2,1,0,0,1,0
42,0,2,1,0,0,1,0
26,0,2,1,0,0,1,0
8,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
4,187,4,1,0,0,1,0
120,208,4,1,0,0,1,0
158,208,2,1,0,0,1,0
98,245,2,1,0,0,1,0
58,257,4,1,0,0,1,0
44,209,4,1,0,0,1,0
70,25,4,1,0,0,1,0
80,0,4,1,0,0,1,0
48,0,4,1,0,0,1,0
10,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
34,25,2,1,0,0,1,0
4,244,2,1,0,0,1,0
140,186,4,1,0,0,1,0
166,221,4,1,0,0,1,0
59,207,3,1,0,0,1,0
39,196,3,1,0,0,1,0
62,257,4,1,0,0,1,0
80,0,4,1,0,0,1,0
50,0,4,1,0,0,1,0
22,0,4,1,0,0,1,0
4,0,2,1,0,0,1,0
8,0,2,1,0,0,1,0
8,0,4,1,0,0,1,0
4,230,4,1,0,0,1,0
100,198,4,1,0,0,1,0
158,250,4,1,0,0,1,0
56,219,4,1,0,0,1,0
72,196,4,1,0,0,1,0
86,217,2,1,0,0,1,0
82,5,2,1,0,0,1,0
76,0,4,1,0,0,1,0
40,0,4,1,0,0,1,0
12,0,4,1,0,0,1,0
10,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
4,79,4,1,0,0,1,0
32,174,4,1,0,0,1,0
164,188,4,1,0,0,1,0
162,205,4,1,0,0,1,0
63,204,3,1,0,0,1,0
59,223,3,1,0,0,1,0
67,166,3,1,0,0,1,0
71,0,3,1,0,0,1,0
45,0,3,1,0,0,1,0
27,0,3,1,0,0,1,0
10,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
35,5,3,1,0,0,1,0
36,212,2,1,0,0,1,0
116,209,4,1,0,0,1,0
162,188,4,1,0,0,1,0
76,226,4,1,0,0,1,0
48,266,4,1,0,0,1,0
76,185,4,1,0,0,1,0
112,0,4,1,0,0,1,0
86,0,4,1,0,0,1,0
20,0,4,1,0,0,1,0
37,0,2,1,0,0,1,0
38,0,2,1,0,0,1,0
6,0,4,1,0,0,1,0
39,124,2,1,0,0,1,0
52,216,2,1,0,0,1,0
138,200,4,1,0,0,1,0
158,211,4,1,0,0,1,0
82,167,4,1,0,0,1,0
70,191,4,1,0,0,1,0
76,237,4,1,0,0,1,0
78,13,4,1,0,0,1,0
40,0,4,1,0,0,1,0
16,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
40,0,2,1,0,0,1,0
41,0,2,1,0,0,1,0
42,83,2,1,0,0,1,0
44,235,2,1,0,0,1,0
156,183,4,1,0,0,1,0
130,212,4,1,0,0,1,0
69,218,3,1,0,0,1,0
57,224,3,1,0,0,1,0
62,204,4,1,0,0,1,0
80,1,4,1,0,0,1,0
68,0,4,1,0,0,1,0
20,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
43,0,4,1,0,0,1,0
44,41,0,0,0,0,1,0
92,239,2,1,0,0,1,0
166,233,4,1,0,0,1,0
60,234,4,1,0,0,1,0
56,255,2,1,0,0,1,0
68,66,2,1,0,0,1,0
72,0,4,1,0,0,1,0
44,0,2,1,0,0,1,0
10,0,2,1,0,0,1,0
10,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
6,61,4,1,0,0,1,0
38,197,4,1,0,0,1,0
148,203,4,1,0,0,1,0
143,252,5,1,0,0,1,0
60,212,4,1,0,0,1,0
42,223,4,1,0,0,1,0
68,12,4,1,0,0,1,0
66,0,2,1,0,0,1,0
26,0,0,0,0,0,1,0
45,0,2,1,0,0,1,0
6,0,4,1,0,0,1,0
10,13,4,1,0,0,1,0
24,196,4,1,0,0,1,0
138,264,4,1,0,0,1,0
168,234,4,1,0,0,1,0
64,177,4,1,0,0,1,0
60,221,4,1,0,0,1,0
74,30,4,1,0,0,1,0
56,0,2,1,0,0,1,0
28,0,2,1,0,0,1,0
6,0,4,1,0,0,1,0
46,0,2,1,0,0,1,0
47,0,2,1,0,0,1,0
8,43,4,1,0,0,1,0
12,214,4,1,0,0,1,0
140,207,4,1,0,0,1,0
148,231,4,1,0,0,1,0
76,213,4,1,0,0,1,0
66,212,4,1,0,0,1,0
48,85,4,1,0,0,1,0
58,0,2,1,0,0,1,0
42,0,0,0,0,0,1,0
10,0,2,1,0,0,1,0
8,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
49,3311,1,1,0,0,1,0
48,3,3,1,0,0,1,0
49,0,3,1,0,0,1,0
50,0,2,1,0,0,1,0
0,20,0,0,0,0,1,0
51,240,2,1,0,0,1,0
94,178,-2,0,0,0,1,0
178,190,2,1,0,0,1,0
116,207,2,1,0,0,1,0
70,193,2,1,0,0,1,0
49,233,1,1,0,0,1,0
69,84,1,1,0,0,1,0
94,0,2,1,0,0,1,0
74,0,2,1,0,0,1,0
10,0,2,1,0,0,1,0
52,0,2,1,0,0,1,0
53,0,2,1,0,0,1,0
54,0,1,1,0,0,1,0
1,180,1,1,0,0,1,0
58,239,-2,0,0,0,1,0
145,204,1,1,0,0,1,0
140,196,2,1,0,0,1,0
72,207,2,1,0,0,1,0
66,231,2,1,0,0,1,0
56,139,2,1,0,0,1,0
81,0,1,1,0,0,1,0
73,0,1,1,0,0,1,0
25,0,1,1,0,0,1,0
7,0,1,1,0,0,1,0
1,0,1,1,0,0,1,0
2,0,2,1,0,0,1,0
3,46,2,1,0,0,1,0
24,220,2,1,0,0,1,0
