APS,ABPS,SUBARP,MISS_MAC,Devi,TCP_Rate,ARP Spoofing,IP Spoofing,TAGS
6.0,0.0,0,0, 248, 21.09090909090909,0,1,IP_SPOOFING
6.0,0.0,0,0, 248, 20.363636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0, 248, 19.636363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 248, 21.818181818181817,0,1,IP_SPOOFING
14.0,0.0,0,0, 248, 19.636363636363637,0,1,IP_SPOOFING
10.0,0.0,0,0, 248, 20.363636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 249, 19.636363636363637,0,1,IP_SPOOFING
5.0,0.0,-1,0, 250, 20.727272727272727,0,1,IP_SPOOFING
5.0,0.0,-1,0, 250, 20.363636363636363,0,1,IP_SPOOFING
7.0,0.0,-1,0, 250, 21.09090909090909,0,1,IP_SPOOFING
6.0,0.0,0,0, 250, 19.636363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 250, 21.818181818181817,0,1,IP_SPOOFING
10.0,0.0,0,0, 250, 19.636363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 250, 21.09090909090909,0,1,IP_SPOOFING
10.0,0.0,0,0, 250, 19.636363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 250, 20.363636363636363,0,1,IP_SPOOFING
6.0,0.0,0,0, 250, 21.09090909090909,0,1,IP_SPOOFING
10.0,0.0,0,0, 250, 20.363636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0, 250, 19.636363636363637,0,1,IP_SPOOFING
4.0,0.0,0,0, 254, 20.727272727272727,0,1,IP_SPOOFING
14.0,0.0,0,0, 254, 19.636363636363637,0,1,IP_SPOOFING
12.0,0.0,0,0, 256, 21.818181818181817,0,1,IP_SPOOFING
22.0,0.0,0,0, 256, 20.363636363636363,0,1,IP_SPOOFING
12.0,0.0,0,0, 256, 21.09090909090909,0,1,IP_SPOOFING
14.0,0.0,0,0, 256, 20.363636363636363,0,1,IP_SPOOFING
14.0,0.0,0,0, 257, 20.0,0,1,IP_SPOOFING
